NAME,CITY,STATE
TILLAMOOK JUNIOR HIGH SCHOOL,TILLAMOOK,OR
MADRONA ELEMENTARY SCHOOL,GRANTS PASS,OR
INSIGHT SCHOOL OF OREGON PAINTED HILLS,MITCHELL,OR
ROWE MIDDLE SCHOOL,MILWAUKIE,OR
LINCOLN MIDDLE SCHOOL,OAKLAND,OR
RALEIGH PARK ELEMENTARY SCHOOL,PORTLAND,OR
GERVAIS ELEMENTARY SCHOOL,GERVAIS,OR
LONE PINE ELEMENTARY SCHOOL,MEDFORD,OR
MELROSE ELEMENTARY SCHOOL,ROSEBURG,OR
LINCOLN PARK ELEMENTARY SCHOOL,PORTLAND,OR
KELLY MIDDLE SCHOOL,EUGENE,OR
AZALEA MIDDLE SCHOOL,BROOKINGS,OR
ONTARIO MIDDLE SCHOOL,ONTARIO,OR
CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES,CENTRAL POINT,OR
FOSSIL CHARTER SCHOOL,FOSSIL,OR
LAFAYETTE ELEMENTARY SCHOOL,ALBANY,OR
IRRIGON ELEMENTARY SCHOOL,IRRIGON,OR
M A LYNCH ELEMENTARY SCHOOL,REDMOND,OR
COOPER MOUNTAIN ELEMENTARY SCHOOL,BEAVERTON,OR
TALENT MIDDLE SCHOOL,TALENT,OR
SHELDON HIGH SCHOOL,EUGENE,OR
HARPER CHARTER SCHOOL,HARPER,OR
HAPPY VALLEY MIDDLE SCHOOL,HAPPY VALLEY,OR
STAYTON HIGH SCHOOL,STAYTON,OR
CRESWELL HIGH SCHOOL,CRESWELL,OR
FAMILY SCHOOL,EUGENE,OR
WEST SALEM HIGH SCHOOL,SALEM,OR
ORENCO ELEMENTARY SCHOOL,HILLSBORO,OR
AL KENNEDY HIGH SCHOOL,COTTAGE GROVE,OR
COLONEL WRIGHT ELEMENTARY SCHOOL,THE DALLES,OR
BEAUMONT MIDDLE SCHOOL,PORTLAND,OR
LEE ELEMENTARY SCHOOL,PORTLAND,OR
REEDVILLE ELEMENTARY SCHOOL,ALOHA,OR
TOLEDO JR. HIGH,TOLEDO,OR
PETERSON ELEMENTARY SCHOOL,KLAMATH FALLS,OR
CASCADE MIDDLE SCHOOL,EUGENE,OR
ELMIRA ELEMENTARY SCHOOL,ELMIRA,OR
MCLOUGHLIN HIGH SCHOOL,MILTON-FREEWATER,OR
WOODBURN ARTHUR ACADEMY,WOODBURN,OR
CLATSKANIE ELEMENTARY SCHOOL,CLATSKANIE,OR
JORDAN VALLEY HIGH SCHOOL,JORDAN VALLEY,OR
ARLINGTON COMMUNITY CHARTER SCHOOL,ARLINGTON,OR
ALBANY OPTIONS SCHOOL,ALBANY,OR
GAFFNEY LANE ELEMENTARY SCHOOL,OREGON CITY,OR
KELLY CREEK ELEMENTARY SCHOOL,GRESHAM,OR
TALMADGE MIDDLE SCHOOL,INDEPENDENCE,OR
BANKS MIDDLE SCHOOL,BANKS,OR
W VERNE MCKINNEY ELEMENTARY SCHOOL,HILLSBORO,OR
NIXYAAWII COMMUNITY SCHOOL,PENDLETON,OR
AUBURN ELEMENTARY SCHOOL,SALEM,OR
ARDENWALD ELEMENTARY SCHOOL,MILWAUKIE,OR
PARKSIDE ELEMENTARY,GRANTS PASS,OR
CANYONVILLE SCHOOL,CANYONVILLE,OR
ABRAHAM LINCOLN ELEMENTARY,MEDFORD,OR
