NAME,CITY,STATE
SONOMA MOUNTAIN HIGH (CONTINUATION),PETALUMA,CA
HOLLYWOOD ELEMENTARY,LOS ANGELES,CA
CRESTLINE ELEMENTARY,BARSTOW,CA
CHINO VALLEY LEARNING ACADEMY,CHINO HILLS,CA
ORLAND HIGH,ORLAND,CA
FOOTHILL HIGH,SACRAMENTO,CA
COMMUNITY SCHOOL/INDEPENDENT ALTERNATIVE EDUCATION,SAN BERNARDINO,CA
MAXWELL SR HIGH,MAXWELL,CA
OTTER CREEK ELEMENTARY,GEORGETOWN,CA
MT. SAN JACINTO HIGH,CATHEDRAL CITY,CA
GLEN OAK ELEMENTARY,COVINA,CA
O. N. HIRSCH ELEMENTARY,FREMONT,CA
SHANDIN HILLS MIDDLE,SAN BERNARDINO,CA
ALTA VISTA HIGH,MOUNTAIN VIEW,CA
MONTEREY TRAIL HIGH,ELK GROVE,CA
E. O. GREEN JUNIOR HIGH,OXNARD,CA
CALAVERAS HIGH,SAN ANDREAS,CA
COBALT INSTITUTE OF MATH AND SCIENCE ACADEMY,VICTORVILLE,CA
THOUSAND OAKS ELEMENTARY,BERKELEY,CA
WILLIAM HOWARD TAFT ELEMENTARY,RIVERSIDE,CA
BELLA VISTA MIDDLE,MURRIETA,CA
CAHUENGA ELEMENTARY,LOS ANGELES,CA
COLONY HIGH,ONTARIO,CA
HILLSIDE ELEMENTARY,SOUTH SAN FRANCISCO,CA
CLEARWATER ELEMENTARY,PERRIS,CA
LAFAYETTE ELEMENTARY,SAN DIEGO,CA
BOBIER ELEMENTARY,VISTA,CA
GARDEN PARK ELEMENTARY,GARDEN GROVE,CA
AUDUBON MIDDLE,LOS ANGELES,CA
VACAVILLE HIGH,VACAVILLE,CA
SAN MARIN HIGH,NOVATO,CA
SEVENTY-FIFTH STREET ELEMENTARY,LOS ANGELES,CA
ROBERT A. MILLIKAN AFFILIATED CHARTER & PERF ARTS MAGNET MID,SHERMAN OAKS,CA
LAKEVIEW ELEMENTARY,SANTA FE SPRINGS,CA
LEMOORE ELEMENTARY,LEMOORE,CA
PACHECO ELEMENTARY,REDDING,CA
