NAME,CITY,STATE
HOLBROOK EL,HOUSTON,TX
UNLIMITED VISIONS AFTERCARE,PASADENA,TX
TEXAS SERENITY ACADEMY,HOUSTON,TX
CAMERON CO J J A E P,MERCEDES,TX
EARLY CHILDHOOD SCHOOL,FRISCO,TX
TOMBALL ALTERNATIVE EDUCATION CENTER,TOMBALL,TX
GEORGE WASHINGTON CARVER EL,KARNACK,TX
HOPE H S,PORT LAVACA,TX
HOMMEL EL,EVERMAN,TX
DUPRE EL,LUBBOCK,TX
WILLBERN EL,HOUSTON,TX
JOHANNA ODONNELL INT,FABENS,TX
MARGARET B HENDERSON EL,DALLAS,TX
YOUNG WOMEN'S LEADERSHIP ACADEMY,SAN ANTONIO,TX
MCCOY EL,CARROLLTON,TX
MISSION J H,MISSION,TX
SKIDMORE-TYNAN EL,SKIDMORE,TX
HUGHES ROAD EL,DICKINSON,TX
DIANE WINBORN EL,KATY,TX
WESTWOOD PRI,PALESTINE,TX
OLSEN PARK EL,AMARILLO,TX
HILDEBRANDT INT,SPRING,TX
CARMICHAEL EL,HOUSTON,TX
TOUGH EL,THE WOODLANDS,TX
STAFFORD CENTER,SAN ANTONIO,TX
ILTEXAS ARLINGTON EL,ARLINGTON,TX
HAMSHIRE-FANNETT EL,BEAUMONT,TX
STOVALL ACADEMY,HOUSTON,TX
CENTRAL MIDDLE,WESLACO,TX
HARRELL BUDD EL,DALLAS,TX
IDEA COLLEGE PREPARATORY SAN BENITO,SAN BENITO,TX
DOROTHY THOMPSON MIDDLE,PROGRESO,TX
DOUGLASS EL,EL PASO,TX
WM B TRAVIS EL,MARSHALL,TX
NEW J H,PEARLAND,TX
FISHER EL,FRISCO,TX
FRED DOUGLASS,JACKSONVILLE,TX
MERIDIAN H S,MERIDIAN,TX
SCHOOL OF SCIENCE AND TECHNOLOGY CORPUS CHRISTI,CORPUS CHRISTI,TX
SILVERCREST EL,PEARLAND,TX
GROESBECK H S,GROESBECK,TX
NISD BEXAR COUNTY JJA,SAN ANTONIO,TX
BRENHAM J H,BRENHAM,TX
IDEA RIVERVIEW COLLEGE PREPARATORY,BROWNSVILLE,TX
COMANCHE EARLY CHILDHOOD CENTER,COMANCHE,TX
THOMAS MANOR,EL PASO,TX
SARTARTIA MIDDLE,SUGAR LAND,TX
BASSETT MIDDLE,EL PASO,TX
HARLANDALE ALTERNATIVE CENTER BOOT MIDDLE,SAN ANTONIO,TX
W A BLAIR EL,DALLAS,TX
